开始时间,结束时间,活动时间计数,热量（千卡）,距离（米）,心肺强化分数,心肺强化时长（分钟）,最低纬度（度）,最低经度（度）,最高纬度（度）,最高经度（度）,平均速度（米/秒）,最高速度（米/秒）,最低速度（米/秒）,步数,平均体重（公斤）,最高体重（公斤）,最低体重（公斤）,骑车时长（毫秒）,步行时长（毫秒）
20:45:00.000+08:00,21:00:00.000+08:00,1,15.749999999999998,37.68082074269458,,,,,,,0.3088591890079212,0.3088591890079212,0.3088591890079212,61,,,,,
21:00:00.000+08:00,21:15:00.000+08:00,9,39.69786833333333,74.74392311255811,6.0,6,,,,,0.30885918249480454,0.30885918249480454,0.30885918249480454,121,,,,366886,40490
21:15:00.000+08:00,21:30:00.000+08:00,13,64.60788083333334,,13.0,13,,,,,,,,,,,,825767,
21:30:00.000+08:00,21:45:00.000+08:00,,15.75,,,,,,,,,,,,,,,,
21:45:00.000+08:00,22:00:00.000+08:00,,15.75,,,,,,,,,,,,,,,,
22:00:00.000+08:00,22:15:00.000+08:00,,15.75,,,,,,,,,,,,,,,,
22:15:00.000+08:00,22:30:00.000+08:00,,15.75,,,,,,,,,,,,,,,,
22:30:00.000+08:00,22:45:00.000+08:00,,23.279815333333335,24.09101654041129,,,,,,,0.3088591985798301,0.3088591985798301,0.3088591985798301,51,,,,,136081
22:45:00.000+08:00,23:00:00.000+08:00,1,8.601465774860001,36.445383997032465,,,,,,,0.37305515602107636,0.37305515602107636,0.37305515602107636,90,,,,,
23:00:00.000+08:00,23:15:00.000+08:00,,,,,,,,,,,,,,,,,,
23:15:00.000+08:00,23:30:00.000+08:00,,,,,,,,,,,,,,,,,,
23:30:00.000+08:00,23:45:00.000+08:00,,,,,,,,,,,,,,,,,,
23:45:00.000+08:00,00:00:00.000+08:00,,,,,,,,,,,,,,,,,,
