日期,活动时间计数,热量（千卡）,距离（米）,心肺强化分数,心肺强化时长（分钟）,最低纬度（度）,最低经度（度）,最高纬度（度）,最高经度（度）,平均速度（米/秒）,最高速度（米/秒）,最低速度（米/秒）,步数,平均体重（公斤）,最高体重（公斤）,最低体重（公斤）,骑车时长（毫秒）,步行时长（毫秒）,跑步时长（毫秒）
2021-12-30,57,1675.8850217708962,1984.414644241333,4.0,3,,,,,0.3907263356585586,1.7236766815185547,0.2656724154949188,3284,,,,,2961779,
2021-12-31,5,1511.99997680756,102.54124641418457,,,,,,,0.3395315977544728,0.42548540234565735,0.3088591694831848,182,,,,,,
2022-01-01,6,1519.6247369392415,231.02665519714355,,,,,,,0.33457203585185835,0.5156791806221008,0.2676779329776764,426,,,,,137797,
2022-01-02,12,1514.9022892609287,388.5448360443115,,,,,,,0.34269785895143756,0.6900888681411743,0.3088591396808624,818,,,,,52453,
2022-01-03,11,1522.902459965827,382.3676528930664,,,,,,,0.32882170442150815,0.7247875928878784,0.2676779329776764,691,,,,,197034,
2022-01-04,17,1520.3258449863165,670.8421182632446,,,,,,,0.3916251107340112,0.7977631092071533,0.2676779329776764,1347,,,,,150469,
2022-01-05,12,1530.620289654016,291.56304931640625,,,,,,,0.30462711701517664,0.3091421127319336,0.2676779329776764,567,,,,,336512,
2022-01-06,9,1518.7505411592788,292.79849433898926,,,,,,,5.46372680443045,12.09595012664795,0.3088591694831848,525,,,,,121999,
2022-01-07,2,1528.1988527510262,84.00969409942627,,,,,,,0.28776742357153684,0.595957338809967,0.2573826313018799,196,,,,,292751,
2022-01-08,10,1522.8693662299054,323.68440437316895,,,,,,,0.391324644841394,0.8556137681007385,0.2779732346534729,684,,,,,196435,
2022-01-09,27,1586.1685669735173,1122.1864824295044,,,,,,,1.8004045792015566,12.77517032623291,0.2573826313018799,1991,,,,,1340398,
2022-01-10,,1511.999918690757,,,,,,,,,,,62,,,,,,
2022-01-11,12,1524.9888930898678,393.48658180236816,,,,,,,0.3127970060376353,0.639610767364502,0.25615814328193665,736,,,,,234741,
2022-01-12,,1511.9999333256235,,,,,,,,,,,15,,,,,,
2022-01-13,11,1537.6772005254638,340.36280250549316,,,,,,,0.6529722044290962,12.618252754211426,0.3047843277454376,617,,,,,464048,
2022-01-14,,1511.9999471920128,,,,,,,,,,,32,,,,,,
2022-01-15,12,1528.2394881564692,447.00286865234375,,,,,,,2.2135954855059365,11.917887687683105,0.2676779329776764,731,,,,,293486,
2022-01-16,24,1577.01350619025,1283.032512664795,5.0,4,,,,,0.7545514252553923,2.4572489261627197,0.3088591694831848,2017,,,,,1173998,
2022-01-17,3,1473.2466681373744,105.6298360824585,,,,,,,0.33020180093563134,0.6154313683509827,0.3088591396808624,269,,,,,,
2022-01-18,,1511.999897070941,,,,,,,,,,,,,,,,,
